typedAnswer,multiplyRT,multiplyCorr,problem,OperandType,productType,participant,group
18,1.5497,1,6 x 3 =,largeFirst,smallProd,651,ACB
15,2.1661,1,3 x 5 =,smallFirst,smallProd,651,ACB
16,1.5825,1,8 x 2 =,largeFirst,smallProd,651,ACB
72,2.2325,1,8 x 9 =,smallFirst,largeProd,651,ACB
40,1.3326,1,5 x 8 =,smallFirst,largeProd,651,ACB
45,1.5164,1,9 x 5 =,largeFirst,largeProd,651,ACB
12,1.0498,1,2 x 6 =,smallFirst,smallProd,651,ACB
54,2.0161,1,6 x 9 =,smallFirst,largeProd,651,ACB
36,2.433,1,4 x 9 =,smallFirst,largeProd,651,ACB
18,1.4991,1,2 x 9 =,smallFirst,smallProd,651,ACB
28,2.0329,1,4 x 7 =,smallFirst,largeProd,651,ACB
16,1.4995,1,8 x 2 =,largeFirst,smallProd,652,ACB
20,2.4663,1,4 x 5 =,smallFirst,smallProd,652,ACB
24,1.8161,1,3 x 8 =,smallFirst,smallProd,652,ACB
12,1.1826,1,4 x 3 =,largeFirst,smallProd,652,ACB
40,2.1823,1,5 x 8 =,smallFirst,largeProd,652,ACB
54,2.7824,1,6 x 9 =,smallFirst,largeProd,652,ACB
21,1.1831,1,3 x 7 =,smallFirst,smallProd,652,ACB
72,2.5325,1,8 x 9 =,smallFirst,largeProd,652,ACB
45,1.5163,1,9 x 5 =,largeFirst,largeProd,652,ACB
18,1.6,1,2 x 9 =,smallFirst,smallProd,652,ACB
36,1.6495,1,4 x 9 =,smallFirst,largeProd,652,ACB
35,2.3659,1,7 x 5 =,largeFirst,largeProd,652,ACB
27,2.8488,1,9 x 3 =,largeFirst,largeProd,652,ACB
14,3.2321,1,7 x 2 =,largeFirst,smallProd,652,ACB
32,2.2997,1,8 x 4 =,largeFirst,largeProd,652,ACB
63,1.8331,1,9 x 7 =,largeFirst,largeProd,652,ACB
24,2.7825,1,6 x 4 =,largeFirst,smallProd,652,ACB
56,2.8991,1,7 x 8 =,smallFirst,largeProd,652,ACB
