participant,n,mean_mult_RT,medium_mult_RT,perc_accuracy_mult
989,50,1.9189206,1.4415875,83.33333333333334
990,51,2.596147843137255,1.949325,85
991,49,2.117243367346939,1.716135,81.66666666666667
992,56,1.9446319642857144,1.64937,93.33333333333333
9935,45,2.9932855555555555,2.43267,75
994,53,2.340390566037736,1.905375,88.33333333333333
995,53,2.8614224528301886,2.066045,88.33333333333333
996,55,1.3856881818181819,1.233545,91.66666666666666
997,52,1.301226826923077,1.2151375,86.66666666666667
998,47,2.404632021276596,1.91682,78.33333333333333
999,54,4.468678796296296,4.195335,90
