typedNumber,typingRT,answerCorr,participant,group
16,1.2828,1,674,BCA
20,1.5644,1,675,ACB
48,1.3981,1,675,ACB
56,1.3649,1,675,ACB
16,1.5812,1,675,ACB
64,1.9641,1,675,ACB
72,1.6812,1,675,ACB
42,1.4643,1,675,ACB
40,1.4975,1,675,ACB
63,1.8309,1,675,ACB
14,1.1981,1,675,ACB
3,1.4479,0,675,ACB
45,1.5149,1,675,ACB
32,1.3648,1,675,ACB
21,1.2483,1,675,ACB
27,1.2148,1,675,ACB
18,1.3315,1,675,ACB
28,1.8978,1,675,ACB
54,1.5313,1,675,ACB
36,1.7149,1,675,ACB
49,1.4647,1,675,ACB
8,1.1984,1,675,ACB
10,1.3481,1,675,ACB
6,1.0651,1,675,ACB
30,1.3981,1,675,ACB
24,1.4482,1,675,ACB
12,1.3648,1,675,ACB
15,1.331,1,675,ACB
9,1.0651,1,675,ACB
35,1.3949,1,676,CBA
21,1.4322,1,676,CBA
14,1.0211,1,676,CBA
45,1.1141,1,676,CBA
24,1.2313,1,676,CBA
56,1.3808,1,676,CBA
64,1.3822,1,676,CBA
27,1.232,1,676,CBA
6,1.4481,1,676,CBA
10,1.2139,1,676,CBA
16,1.2338,1,676,CBA
48,2.5772,1,676,CBA
54,1.2813,1,676,CBA
72,1.4652,1,676,CBA
32,1.3996,1,676,CBA
42,1.4143,1,676,CBA
20,1.065,1,676,CBA
36,1.7627,1,676,CBA
63,1.7157,1,676,CBA
12,0.814,1,676,CBA
49,1.3813,1,676,CBA
28,1.4987,1,676,CBA
40,2.0476,1,676,CBA
9,1.0481,1,676,CBA
15,1.1312,1,676,CBA
8,1.1319,1,676,CBA
18,1.1329,1,676,CBA
30,1.5107,1,676,CBA
10,1.2163,1,677,ACB
16,1.3656,1,677,ACB
12,0.7827,1,677,ACB
35,1.1661,1,677,ACB
63,1.1492,1,677,ACB
8,0.9161,1,677,ACB
36,1.1323,1,677,ACB
40,1.532,1,677,ACB
28,1.0824,1,677,ACB
27,1.0158,1,677,ACB
6,0.8324,1,677,ACB
54,1.1825,1,677,ACB
48,1.4161,1,677,ACB
45,1.0659,1,677,ACB
49,1.1324,1,677,ACB
9,0.9822,1,677,ACB
24,0.8828,1,677,ACB
18,0.9991,1,677,ACB
15,0.8831,1,677,ACB
56,1.066,1,677,ACB
32,1.2325,1,677,ACB
42,0.9324,1,677,ACB
30,1.1517,1,677,ACB
64,1.2493,1,677,ACB
72,1.2328,1,677,ACB
21,0.8993,1,677,ACB
20,0.9491,1,677,ACB
14,1.8323,1,677,ACB
64,1.783,1,680,BCA
6,0.9,1,680,BCA
63,1.15,1,680,BCA
42,1.083,1,680,BCA
21,0.917,1,680,BCA
15,0.933,1,680,BCA
14,1.066,1,680,BCA
56,1.133,1,680,BCA
27,1.167,1,680,BCA
35,1.416,1,680,BCA
10,1.098,1,680,BCA
28,1.467,1,680,BCA
16,1.033,1,680,BCA
9,1.8,1,680,BCA
36,1.168,1,680,BCA
8,0.917,1,680,BCA
54,0.967,1,680,BCA
72,1.883,1,680,BCA
12,0.9,1,680,BCA
30,1.317,1,680,BCA
20,1.117,1,680,BCA
24,1.151,1,680,BCA
32,0.868,1,680,BCA
40,1.466,1,680,BCA
18,1.316,1,680,BCA
45,1.068,1,680,BCA
49,1.233,1,680,BCA
48,1.133,1,680,BCA
40,1.6152,1,681,ACB
72,1.4975,1,681,ACB
36,1.1977,1,681,ACB
16,1.098,1,681,ACB
56,1.1154,1,681,ACB
21,0.8331,1,681,ACB
48,1.3983,1,681,ACB
42,1.1822,1,681,ACB
63,1.5321,1,681,ACB
6,1.0978,1,681,ACB
12,0.849,1,681,ACB
64,1.6489,1,681,ACB
28,1.3151,1,681,ACB
30,1.4648,1,681,ACB
49,1.5975,1,681,ACB
27,1.4146,1,681,ACB
24,1.049,1,681,ACB
9,1.1657,1,681,ACB
8,0.9154,1,681,ACB
14,1.3154,1,681,ACB
20,1.1994,1,681,ACB
15,1.0825,1,681,ACB
18,1.099,1,681,ACB
32,1.05,1,681,ACB
45,1.165,1,681,ACB
10,1.2325,1,681,ACB
35,1.2653,1,681,ACB
54,1.5481,1,681,ACB
14,1.2826,1,682,ACB
40,1.399,1,682,ACB
27,1.5994,1,682,ACB
21,1.399,1,682,ACB
42,1.5323,1,682,ACB
49,1.349,1,682,ACB
