typedNumber,typingRT,answerCorr,typingLoopPract.thisRepN,typingLoopPract.thisTrialN,typingLoopPract.thisN,typingLoopPract.thisIndex,typingLoopPract.ran,productNo,participant,session,group,date,expName,psychopyVersion,OS,frameRate,typingRTrial.thisRepN,typingRTrial.thisTrialN,typingRTrial.thisN,typingRTrial.thisIndex,typingRTrial.ran,typedAnswer,multiplyRT,multiplyCorr,multiLoopPrac.thisRepN,multiLoopPrac.thisTrialN,multiLoopPrac.thisN,multiLoopPrac.thisIndex,multiLoopPrac.ran,problem,OperandType,productType,Answer,multiRTrial.thisRepN,multiRTrial.thisTrialN,multiRTrial.thisN,multiRTrial.thisIndex,multiRTrial.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,fileee,TaskA.thisRepN,TaskA.thisTrialN,TaskA.thisN,TaskA.thisIndex,TaskA.ran,TaskOrderCond.thisRepN,TaskOrderCond.thisTrialN,TaskOrderCond.thisN,TaskOrderCond.thisIndex,TaskOrderCond.ran,nRepsTask1,nRepsTask2,nRepsTask3,correct,respMousePrac.x,respMousePrac.y,respMousePrac.leftButton,respMousePrac.midButton,respMousePrac.rightButton,vptLoopPrac.thisRepN,vptLoopPrac.thisTrialN,vptLoopPrac.thisN,vptLoopPrac.thisIndex,vptLoopPrac.ran,tiles,rows,cols,vptCorrect,respMouse.x,respMouse.y,respMouse.leftButton,respMouse.midButton,respMouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,noOfBlocks,blockDuration,conditionLoop.thisRepN,conditionLoop.thisTrialN,conditionLoop.thisN,conditionLoop.thisIndex,conditionLoop.ran,sheet,readyMsg,TaskC.thisRepN,TaskC.thisTrialN,TaskC.thisN,TaskC.thisIndex,TaskC.ran
14,1.426,1,,,,,,14,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,0,24,24,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.694,1,,,,,,20,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,0,25,25,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3.648,1,,,,,,24,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,0,26,26,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.803,1,,,,,,15,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,0,27,27,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,7,1.572,1,0,0,0,0,1,1 x 7 =,NA,practiceQ,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,50,1.96,1,0,1,1,1,1,5 x 10 =,NA,practiceQ,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,33,1.986,1,0,2,2,2,1,3 x 11 =,NA,practiceQ,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,40,3.268,1,,,,,,5 x 8 =,smallFirst,largeProd,40,0,0,0,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,12,1.719,1,,,,,,2 x 6 =,smallFirst,smallProd,12,0,1,1,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,45,1.951,1,,,,,,9 x 5 =,largeFirst,largeProd,45,0,2,2,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,63,5.808,1,,,,,,9 x 7 =,largeFirst,largeProd,63,0,3,3,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,10,1.624,1,,,,,,5 x 2 =,largeFirst,smallProd,10,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,6,2.157,1,,,,,,3 x 2 =,largeFirst,smallProd,6,0,5,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,56,3.202,1,,,,,,7 x 8 =,smallFirst,largeProd,56,0,6,6,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,24,1.909,1,,,,,,3 x 8 =,smallFirst,smallProd,24,0,7,7,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,20,1.827,1,,,,,,4 x 5 =,smallFirst,smallProd,20,0,8,8,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,27,2.149,1,,,,,,9 x 3 =,largeFirst,largeProd,27,0,9,9,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,9,1.43,1,,,,,,3 x 3 =,tie,smallProd,9,0,10,10,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,21,1.507,1,,,,,,3 x 7 =,smallFirst,smallProd,21,0,11,11,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,35,2.434,1,,,,,,7 x 5 =,largeFirst,largeProd,35,0,12,12,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,16,1.885,1,,,,,,8 x 2 =,largeFirst,smallProd,16,0,13,13,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,731,1,ACB,2022-01-25_15h25.25.293,workingMemoryTest,2020.2.10,Win32,60,,,,,,48,4.811,1,,,,,,6 x 8 =,smallFirst,largeProd,48,0,14,14,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
