participant,median_RT,mean_RT,num_correct_trials,perc_accuracy,verbal_span_wais,verbal_span_egner,verbal_span_mean,mean_blocks,max_vpt_span,n,mean_mult_RT,medium_mult_RT,perc_accuracy_mult
750,1.13185,1.178907142857143,28,100,6,6,6,5.666666666666667,6,57,2.6194140350877193,1.96,95
751,1.06665,1.0968,27,96.42857142857144,8,9,8.5,8,8,60,1.3218283333333334,1.2683,100
752,1.3245,1.287607142857143,28,100,7,7,7,9.333333333333334,9,60,1.5012,1.4335,100
753,1.325,1.4058192307692308,26,92.85714285714286,9,9,9,10.333333333333334,9,57,2.6268140350877194,2.0489,95
754,0.9697,1.1026037037037038,24,85.71428571428571,8,8,8,9.333333333333334,9,54,1.4252944444444444,1.3024,90
755,1.4845000000000002,1.5298571428571428,28,100,7,7,7,5.333333333333333,5,59,1.6521525423728811,1.467,98.33333333333331
756,1.6425,1.6550928571428571,28,100,9,9,9,9.333333333333334,9,59,1.8198169491525424,1.7086,98.33333333333331
758,1.491,1.579292857142857,28,100,6,7,6.5,6,6,58,2.015312068965517,1.8662,96.66666666666669
759,1.1566,1.1632642857142856,28,100,6,9,7.5,6.333333333333333,6,57,1.3943491228070175,1.3484,95
760,1.0494,1.066125,27,96.42857142857144,3,7,5,11.333333333333334,9,56,1.9235107142857144,1.6243,93.33333333333331
761,1.30885,1.4044,27,96.42857142857144,6,7,6.5,5.333333333333333,5,52,3.4106326923076926,2.4080000000000004,86.66666666666667
762,1.13155,1.1776357142857143,27,96.42857142857144,9,9,9,11.333333333333334,9,59,1.710642372881356,1.5728,98.33333333333331
763,1.291,1.4159642857142858,27,96.42857142857144,8,9,8.5,12.333333333333334,9,59,1.766050847457627,1.517,98.33333333333331
764,1.557,1.6489464285714286,28,100,9,8,8.5,8.333333333333334,8,60,2.788895,2.5406,100
765,0.9331,0.9838,28,100,8,7,7.5,12.333333333333334,9,53,2.1947094339622644,1.6958,88.33333333333333
